year,ex_dividend_date,分配金額,54C股利,76W財產交易,收益平準金
2020 Q4,2020/11/17,0.05,0.05,0,0
2021 Q1,2021/02/25,0.15,0.06,0.09,0
2021 Q2,2021/05/18,0.25,0.08,0.17,0
2021 Q3,2021/08/17,0.30,0.19,0.09,0.02
2021 Q4,2021/11/16,0.28,0.14,0.05,0.09
2022 Q1,2022/02/22,0.30,0.05,0.16,0.09
2022 Q2,2022/05/18,0.32,0.02,0.08,0.22
2022 Q3,2022/08/16,0.28,0.21,0,0.07
2022 Q4,2022/11/16,0.28,0.15,0,0.13
2023 Q1,2023/02/16,0.27,0.13,0,0.14
2023 Q2,2023/05/17,0.27,0.13,0,0.14
2023 Q3,2023/08/16,0.35,0.01,0.34,0
2023 Q4,2023/11/16,0.35,0.11,0.22,0.02
2024 Q1,2024/02/27,0.40,0.18,0.22,0
2024 Q2,2024/05/17,0.51,0.14,0.35,0.02
2024 Q3,2024/08/16,0.55,0.19,0.32,0.04
2024 Q4,2024/11/18,0.55,0.13,0.34,0.08
2025 Q1,2025/02/20,0.50,0.30,0.10,0.10
2025 Q2,2025/05/19,0.47,0.16,0.19,0.12